Distance_(unit),Gray_Value
0.000,162.0000
0.442,160.3333
0.883,160.0391
1.325,159.3920
1.767,163.0204
2.208,161.0400
2.650,158.5680
3.092,160.1369
3.534,164.6871
3.975,160.8613
4.417,159.7244
4.859,164.0213
5.300,162.3947
5.742,161.5876
6.184,161.2738
6.625,159.2933
7.067,160.8527
7.509,159.3387
7.950,157.6293
8.392,160.8195
8.834,162.5067
9.276,161.1369
9.717,160.4302
10.159,160.4498
10.601,161.4693
11.042,160.9778
11.484,161.6779
11.926,160.3333
12.367,158.7858
12.809,161.9004
13.251,161.1378
13.692,159.5147
14.134,160.4560
14.576,159.2578
15.018,158.0018
15.459,159.6667
15.901,158.0373
16.343,157.5040
16.784,156.5719
17.226,157.5876
17.668,159.2311
18.109,160.7387
18.551,160.9760
18.993,160.0000
19.434,157.6124
19.876,163.2800
20.318,163.4978
20.760,161.0000
21.201,157.3680
21.643,158.1671
22.085,162.9556
22.526,162.9893
22.968,159.0507
23.410,160.5155
23.851,156.7253
24.293,158.1763
24.735,165.6196
25.176,159.3333
25.618,156.7404
26.060,158.1535
26.502,164.1778
26.943,162.3333
27.385,157.7582
27.827,158.3627
28.268,158.4213
28.710,157.4800
29.152,162.7209
29.593,164.0000
30.035,164.3404
30.477,165.0320
30.918,163.3333
31.360,165.9256
31.802,168.0880
32.244,163.8551
32.685,161.8942
33.127,162.0667
33.569,162.1253
34.010,163.8507
34.452,164.8924
34.894,162.4850
35.335,160.3496
35.777,160.9147
36.219,163.4596
36.660,163.6667
37.102,164.9520
37.544,163.1081
37.985,163.1212
38.427,164.7360
38.869,164.0542
39.311,161.4198
39.752,160.9333
40.194,162.1129
40.636,159.2693
41.077,162.6062
41.519,159.2696
41.961,161.0948
42.402,162.7547
42.844,162.7938
43.286,163.8886
43.727,161.0427
44.169,156.6667
44.611,157.3582
45.053,162.3440
45.494,161.3049
45.936,164.3333
46.378,161.4400
46.819,162.5520
47.261,163.3333
47.703,163.0720
48.144,161.8684
48.586,157.4533
49.028,158.5120
49.469,158.3804
49.911,159.9138
50.353,163.1867
50.795,162.5022
51.236,162.7316
51.678,158.5307
52.120,159.8717
52.561,158.6978
53.003,157.6000
53.445,159.8216
53.886,161.3333
54.328,161.9013
54.770,162.0587
55.211,159.7778
55.653,161.0347
56.095,160.6447
56.537,155.9793
56.978,158.0080
57.420,160.6667
57.862,156.6853
58.303,157.4187
58.745,163.2062
59.187,162.8613
59.628,159.3600
60.070,159.0213
60.512,158.6542
