Distance_(pixels),Gray_Value
0,152.6667
1,145.0000
2,147.3333
3,146.0000
4,143.0000
5,149.6667
6,149.6667
7,146.3333
8,152.0000
9,156.0000
10,157.6667
11,159.0000
12,161.6667
13,163.6667
14,169.3333
15,160.6667
16,164.6667
17,164.0000
18,162.0000
19,163.3333
20,162.3333
21,161.3333
22,162.3333
23,162.3333
24,161.3333
25,160.3333
26,161.3333
27,160.3333
28,158.3333
29,161.0000
30,161.0000
31,159.0000
32,163.0000
33,157.6667
34,157.6667
35,163.3333
36,161.3333
37,159.3333
38,164.0000
39,160.0000
40,159.0000
41,158.6667
42,156.6667
43,155.6667
44,158.6667
45,159.6667
46,158.6667
47,164.3333
48,165.3333
49,154.3333
50,153.3333
51,160.6667
52,159.6667
53,160.6667
54,167.3333
55,162.3333
56,159.3333
57,158.6667
58,163.6667
59,164.6667
60,157.6667
61,157.3333
62,167.0000
63,166.0000
64,166.0000
65,163.0000
66,160.0000
67,160.3333
68,159.6667
69,159.6667
70,165.3333
71,162.6667
72,163.0000
73,155.0000
74,154.0000
75,157.0000
76,157.6667
77,160.6667
78,157.3333
79,163.3333
80,161.6667
81,161.6667
82,160.3333
83,158.3333
84,160.6667
85,162.6667
86,161.6667
87,160.3333
88,159.3333
89,159.6667
90,161.3333
91,162.0000
92,164.6667
93,162.6667
94,160.0000
95,161.3333
96,163.6667
97,162.3333
98,163.3333
99,161.6667
100,157.6667
101,159.3333
102,161.6667
103,162.3333
104,162.6667
105,162.3333
106,161.6667
107,164.3333
108,164.3333
109,162.3333
110,159.3333
111,163.3333
112,163.3333
113,162.6667
114,162.6667
115,165.6667
116,166.6667
117,164.0000
118,157.6667
119,160.3333
120,162.3333
121,161.3333
122,162.3333
123,163.0000
124,161.0000
125,161.3333
126,159.6667
127,159.6667
128,159.0000
129,158.0000
130,160.6667
131,156.3333
132,158.6667
133,159.3333
134,161.3333
135,161.6667
136,157.6667
137,157.3333
138,161.3333
139,160.3333
140,154.6667
141,155.6667
142,160.6667
143,159.3333
144,162.3333
145,164.3333
146,163.3333
147,161.0000
148,158.0000
149,158.0000
150,160.0000
151,160.0000
152,159.0000
153,159.3333
154,159.6667
