Distance_(pixels),Gray_Value
0,198.0000
1,194.9738
2,202.9344
3,200.9410
4,199.0262
5,195.9344
6,193.9607
7,195.2754
8,200.0525
9,198.0000
10,201.8033
11,200.1344
12,199.3148
13,193.0000
14,197.6328
15,194.9016
16,197.2098
17,199.6656
18,199.0000
19,191.8721
20,198.8689
21,198.1016
22,193.8656
23,198.0951
24,196.4721
25,193.5082
26,196.0000
27,197.2918
28,202.8164
29,202.6689
30,204.0164
31,199.1869
32,200.5311
33,199.1344
34,199.2229
35,195.7705
36,198.8754
37,198.8164
38,196.7508
39,195.9771
40,203.6393
41,198.6557
42,196.8984
43,198.4361
44,198.7311
45,199.4098
46,198.0000
47,196.6918
48,199.3705
49,196.3213
50,198.6393
51,196.6689
52,194.2951
53,197.6951
54,200.6459
55,196.6393
56,198.6328
57,197.7475
58,197.6197
59,200.0000
60,199.6066
61,195.4000
62,199.7803
63,198.3475
64,196.3213
65,191.5738
66,195.4328
67,197.4393
68,200.4459
69,194.0951
70,194.6230
71,198.5344
72,194.6393
73,199.0426
74,204.5148
75,196.5410
76,200.0098
77,193.0000
78,192.9541
79,192.9639
80,201.5246
81,199.4066
82,194.9246
83,192.5443
84,194.2459
85,196.5574
86,198.5639
87,192.8590
88,194.0000
89,195.0000
90,200.4098
91,200.0000
92,200.0000
93,197.2197
94,198.3836
95,192.3770
96,195.4820
97,196.8197
98,199.0721
99,197.6492
100,198.3115
101,198.6885
102,198.6557
103,191.6230
104,198.2721
105,193.4262
106,193.5738
107,192.4918
108,202.3738
109,196.5705
110,199.1639
111,198.3672
112,200.4066
113,196.9639
114,199.0000
115,196.7377
116,197.1967
117,196.7672
118,196.7738
119,202.1213
120,196.0000
121,201.0000
122,197.2000
123,196.8066
124,195.4393
125,198.7377
126,195.9574
127,191.8328
128,195.1607
129,194.6918
130,198.0000
131,198.2820
132,199.2689
133,194.5115
134,191.8492
135,194.3443
136,197.7836
137,197.5934
138,200.8098
139,202.6459
140,200.0164
141,197.1508
142,197.3443
143,194.8754
144,191.2787
145,195.2459
146,199.0426
147,188.3246
148,196.0885
149,191.0918
150,189.1148
151,198.9607
152,201.9967
153,196.9967
154,200.9902
155,193.0000
156,193.0688
157,198.1475
158,196.0361
159,195.0853
160,195.2459
161,193.2787
162,196.0623
163,191.0000
164,199.0754
165,194.0820
166,189.2656
167,195.7148
168,200.8984
169,196.1082
170,198.1148
171,191.2131
172,192.6623
173,197.2689
174,200.1541
175,196.5574
176,199.5377
177,197.3213
178,190.8361
179,197.1738
180,202.4590
181,198.1869
182,192.1934
183,197.2000
184,198.7934
185,193.8525
186,196.8787
187,193.6787
188,202.8361
189,197.2393
190,194.7541
191,193.0098
192,197.4820
193,196.4689
194,198.0000
195,196.0492
196,200.5705
197,199.8754
198,197.7016
199,196.1344
200,193.8033
201,193.0000
202,199.0000
203,193.9934
204,196.6492
205,197.0656
206,199.5967
207,190.6426
208,189.6393
209,195.0754
210,199.3770
211,194.2328
212,198.5607
213,196.7934
214,201.8066
215,198.5902
216,197.1672
217,196.0000
218,198.4295
219,197.0000
220,200.1148
221,195.0000
222,197.9115
223,194.8492
224,197.4066
225,196.5246
226,197.0721
227,195.0000
228,200.9705
229,198.0066
230,197.5574
231,194.5738
232,196.5639
233,194.0557
234,194.0000
235,194.0000
236,201.2852
237,196.0000
238,198.5607
239,195.0000
240,200.4426
241,194.9016
242,198.1738
243,198.8131
244,198.8000
245,195.3934
246,194.7738
247,193.7607
248,199.0000
249,197.6328
250,201.2787
251,197.9377
252,194.9574
253,196.6131
254,197.3311
255,198.9836
256,204.6426
257,198.7967
258,202.5344
259,194.6984
260,193.1803
261,196.7115
262,200.4361
263,197.4492
264,200.0000
265,196.7377
266,196.9771
267,198.7541
268,202.2721
269,201.2918
270,201.1639
271,200.1082
272,200.4328
273,193.2098
274,193.4066
275,193.8033
276,197.0984
277,194.2656
278,196.8230
279,192.3180
280,196.0164
281,193.6852
282,201.3967
283,197.2787
284,196.1377
285,193.3934
286,197.7508
287,198.2918
288,201.3311
289,197.6852
290,197.8033
291,198.7246
