Distance_(pixels),Gray_Value
0,198.0000
1,200.9898
2,197.9795
3,200.0000
4,200.0000
5,200.8464
6,198.7543
7,203.7133
8,195.3277
9,199.2764
10,196.4096
11,195.5631
12,192.6143
13,195.5324
14,195.2867
15,199.1536
16,196.1638
17,203.3038
18,194.0000
19,197.7782
20,196.0239
21,194.2150
22,194.5495
23,192.7065
24,194.4915
25,198.2560
26,197.5324
27,200.8293
28,197.5734
29,195.7031
30,192.0000
31,197.3174
32,194.3106
33,194.0137
34,192.7406
35,197.1502
36,195.5802
37,195.6519
38,194.7236
39,199.3959
40,197.4573
41,198.0990
42,194.7201
43,192.6416
44,196.7031
45,197.3822
46,196.5290
47,199.5188
48,196.4744
49,200.0034
50,195.0000
51,196.4778
52,194.9352
53,196.6280
54,196.1058
55,196.6212
56,201.8532
57,198.5836
58,194.3754
59,197.6246
60,198.4573
61,202.3754
62,197.0000
63,193.9352
64,196.9659
65,197.6655
66,196.3242
67,198.6860
68,195.1775
69,196.1195
70,194.5666
71,194.8191
72,197.7884
73,192.9898
74,200.0307
75,203.5358
76,194.4471
77,200.6143
78,199.3822
79,197.4710
80,194.1809
81,200.4881
82,197.8771
83,204.0990
84,198.3003
85,197.4812
86,194.5222
87,196.8908
88,198.8020
89,199.1775
90,197.3140
91,199.2048
92,196.9420
93,200.6178
94,196.8123
95,193.1365
96,194.0171
97,194.9863
98,198.0034
99,201.9454
100,197.8089
101,197.7611
102,193.9556
103,199.1638
104,194.9352
105,200.6246
106,197.4881
107,200.0000
108,195.8942
109,202.4198
110,199.2423
111,199.8635
112,195.0273
113,191.0000
114,193.3345
115,192.2901
116,194.1877
117,197.3857
118,194.7918
119,200.6553
120,194.3140
121,194.7611
122,198.7509
123,200.4812
124,199.2696
125,201.4403
126,199.5495
127,192.4983
128,198.3788
129,199.6792
130,197.6758
131,197.6348
132,196.6485
133,198.7236
134,195.8840
135,202.9420
136,199.3925
137,195.4164
138,198.8908
139,202.0000
140,194.2662
141,196.7816
142,198.1843
143,202.4642
144,196.1024
145,202.4846
146,201.0307
147,201.4744
148,196.0614
149,198.4232
150,201.2491
151,199.7304
152,192.7816
153,196.6997
154,196.8464
155,193.8908
156,196.6109
157,203.3925
158,195.3822
159,198.8840
160,196.4471
161,197.7031
162,194.9761
163,195.0137
164,198.3959
165,203.0000
166,195.1024
167,198.1911
168,191.6382
169,204.9215
170,191.7782
171,197.0000
172,200.8055
173,194.6860
174,195.6553
175,197.0410
176,194.5836
177,201.6246
178,195.0648
179,197.6723
180,201.0000
181,199.1468
182,195.6826
183,201.7474
184,191.0444
185,198.8464
186,193.4778
187,194.3413
188,197.3754
189,201.3891
190,201.1638
191,203.0000
192,200.1024
193,195.1433
194,193.0546
195,198.0102
196,196.9863
197,197.9659
198,196.0273
199,198.0000
200,199.9522
201,202.0000
202,195.7952
203,197.7645
204,198.2662
205,200.1980
206,196.0000
207,194.4778
208,192.3891
209,197.2799
210,195.4505
211,196.8396
212,198.0000
213,201.7236
214,195.8089
215,191.6041
216,200.7884
217,203.0000
218,198.0000
219,197.7577
220,197.0000
221,200.4744
222,195.7270
223,195.1331
224,190.0000
225,196.5188
226,193.8840
227,196.6212
228,194.6689
229,201.6894
230,195.4198
231,193.8259
232,193.8771
233,198.0000
234,194.3754
235,197.6246
236,200.0000
237,201.5734
238,197.1263
239,198.5768
240,197.3720
241,194.0648
242,192.5666
243,199.0478
244,197.0068
245,198.0000
246,197.0751
247,200.5290
248,199.5392
249,199.5495
250,197.1195
251,197.7099
252,194.7406
253,199.5904
254,199.3993
255,197.1672
256,196.3481
257,197.0000
258,199.3584
259,199.0444
260,196.3652
261,197.6553
262,200.4130
263,200.1570
264,201.2184
265,198.4266
266,199.1058
267,194.3959
268,200.5119
269,197.5256
270,198.5870
271,196.6758
272,196.5700
273,198.1809
274,194.1945
275,191.5529
276,193.4778
277,199.0000
278,194.4608
279,197.2833
280,195.2662
281,197.2457
282,192.4505
283,201.7952
284,200.0785
285,195.5085
286,195.2867
287,193.4300
288,195.2048
289,194.2457
290,192.8464
291,191.0614
292,194.0205
293,201.0000
294,193.9283
295,199.9795
296,195.0614
297,199.0410
298,199.8976
299,198.8157
300,191.8567
301,196.0000
302,198.1843
303,199.5119
304,196.8874
305,199.5085
306,199.3345
307,199.7133
308,193.5392
309,194.0171
310,195.3038
311,200.3686
312,196.1945
313,197.4096
314,198.7099
315,197.8737
316,192.2935
317,196.5256
318,194.7440
319,197.0000
320,196.0648
321,198.1399
322,197.0000
323,201.3857
324,201.4130
325,200.6894
326,197.3242
327,200.0000
328,198.0751
329,201.2116
330,199.3788
331,197.6655
332,201.5973
333,204.1809
334,200.0000
335,201.5700
336,198.0000
337,200.1980
338,196.5392
339,198.5870
340,194.5188
341,197.0171
342,201.4846
343,204.9044
344,196.3891
345,198.4676
346,195.1160
347,198.9181
348,193.3686
349,199.8669
350,197.1672
351,196.6246
352,194.1877
353,194.4573
354,193.0000
355,200.0956
356,198.4198
357,195.0683
358,194.0068
359,199.9727
360,200.7440
361,195.8225
362,197.1195
363,202.8669
364,196.6382
365,194.5768
366,192.5051
367,196.7577
368,200.3038
369,192.1092
370,190.4812
371,205.0068
372,198.8089
373,193.9044
374,193.3413
375,192.4437
376,202.0000
